#wl 	 flux 	 err 
3902.114502 	 7.647244e-16 	 2.574930e-17 
3903.012207 	 7.776066e-16 	 2.610292e-17 
3903.912109 	 7.728823e-16 	 2.583889e-17 
3904.810303 	 7.675543e-16 	 2.595093e-17 
3905.710693 	 7.757438e-16 	 2.572073e-17 
3906.609375 	 7.202444e-16 	 2.542892e-17 
3907.510010 	 7.974770e-16 	 2.602260e-17 
3908.408936 	 8.205623e-16 	 2.692764e-17 
3909.308105 	 8.220966e-16 	 2.675922e-17 
3910.209717 	 8.672834e-16 	 2.762647e-17 
3911.109131 	 8.178869e-16 	 2.670144e-17 
3912.010986 	 8.474687e-16 	 2.722548e-17 
3912.911133 	 8.658457e-16 	 2.747868e-17 
3913.813232 	 8.587954e-16 	 2.734850e-17 
3914.713623 	 8.436993e-16 	 2.700869e-17 
3915.614258 	 8.342251e-16 	 2.682844e-17 
3916.517090 	 8.353597e-16 	 2.671431e-17 
3917.418213 	 8.489921e-16 	 2.692872e-17 
3918.321533 	 9.103941e-16 	 2.808234e-17 
3919.222900 	 8.837585e-16 	 2.747116e-17 
3920.126709 	 8.499333e-16 	 2.723288e-17 
3921.028564 	 8.910735e-16 	 2.730006e-17 
3921.930664 	 8.736904e-16 	 2.716043e-17 
3922.834961 	 8.881214e-16 	 2.725257e-17 
3923.737305 	 8.892092e-16 	 2.721279e-17 
3924.642090 	 9.089040e-16 	 2.780542e-17 
3925.545166 	 9.062987e-16 	 2.733491e-17 
3926.450195 	 8.629731e-16 	 2.701279e-17 
3927.353516 	 8.707844e-16 	 2.698728e-17 
3928.257080 	 8.905533e-16 	 2.705492e-17 
3929.162842 	 8.570269e-16 	 2.658579e-17 
3930.066650 	 8.463064e-16 	 2.624221e-17 
3930.973145 	 8.591907e-16 	 2.640136e-17 
3931.877441 	 8.580232e-16 	 2.640563e-17 
3932.783936 	 8.629337e-16 	 2.652725e-17 
3933.688721 	 8.770873e-16 	 2.669354e-17 
3934.593750 	 8.737933e-16 	 2.663275e-17 
3935.500977 	 8.537348e-16 	 2.637397e-17 
3936.406250 	 8.568714e-16 	 2.647813e-17 
3937.314209 	 8.996741e-16 	 2.704461e-17 
3938.219971 	 9.204075e-16 	 2.746008e-17 
3939.127930 	 8.596714e-16 	 2.639701e-17 
3940.034180 	 8.418167e-16 	 2.612613e-17 
3940.940674 	 8.687719e-16 	 2.667482e-17 
3941.849365 	 8.836171e-16 	 2.671951e-17 
3942.756104 	 8.568968e-16 	 2.639119e-17 
3943.665283 	 8.240254e-16 	 2.582905e-17 
3944.572510 	 8.129134e-16 	 2.549657e-17 
3945.482178 	 8.054794e-16 	 2.526329e-17 
3946.389893 	 7.962706e-16 	 2.512620e-17 
3947.297852 	 7.884565e-16 	 2.479920e-17 
3948.208008 	 7.703437e-16 	 2.432036e-17 
3949.116211 	 7.299153e-16 	 2.378019e-17 
3950.026855 	 7.453158e-16 	 2.375118e-17 
